都道府県,開始日,終了日,救急搬送困難事案数
岡山県,"2020-04-13","2020-04-19",4
広島県,"2020-04-13","2020-04-19",21
山口県,"2020-04-13","2020-04-19",1
徳島県,"2020-04-13","2020-04-19",1
香川県,"2020-04-13","2020-04-19",8
愛媛県,"2020-04-13","2020-04-19",0
高知県,"2020-04-13","2020-04-19",7
福岡県,"2020-04-13","2020-04-19",41
佐賀県,"2020-04-13","2020-04-19",2
長崎県,"2020-04-13","2020-04-19",3
熊本県,"2020-04-13","2020-04-19",8
大分県,"2020-04-13","2020-04-19",4
宮崎県,"2020-04-13","2020-04-19",7
鹿児島県,"2020-04-13","2020-04-19",2
沖縄県,"2020-04-13","2020-04-19",0
北海道,"2020-04-20","2020-04-26",67
青森県,"2020-04-20","2020-04-26",0
岩手県,"2020-04-20","2020-04-26",3
宮城県,"2020-04-20","2020-04-26",24
秋田県,"2020-04-20","2020-04-26",0
山形県,"2020-04-20","2020-04-26",1
福島県,"2020-04-20","2020-04-26",1
茨城県,"2020-04-20","2020-04-26",8
栃木県,"2020-04-20","2020-04-26",1
群馬県,"2020-04-20","2020-04-26",1
埼玉県,"2020-04-20","2020-04-26",54
千葉県,"2020-04-20","2020-04-26",68
東京都,"2020-04-20","2020-04-26",854
神奈川県,"2020-04-20","2020-04-26",120
新潟県,"2020-04-20","2020-04-26",27
富山県,"2020-04-20","2020-04-26",4
石川県,"2020-04-20","2020-04-26",2
福井県,"2020-04-20","2020-04-26",1
山梨県,"2020-04-20","2020-04-26",5
長野県,"2020-04-20","2020-04-26",0
岐阜県,"2020-04-20","2020-04-26",1
静岡県,"2020-04-20","2020-04-26",5
愛知県,"2020-04-20","2020-04-26",12
三重県,"2020-04-20","2020-04-26",0
滋賀県,"2020-04-20","2020-04-26",0
京都府,"2020-04-20","2020-04-26",16
大阪府,"2020-04-20","2020-04-26",247
兵庫県,"2020-04-20","2020-04-26",36
奈良県,"2020-04-20","2020-04-26",5
和歌山県,"2020-04-20","2020-04-26",1
鳥取県,"2020-04-20","2020-04-26",0
島根県,"2020-04-20","2020-04-26",0
岡山県,"2020-04-20","2020-04-26",5
広島県,"2020-04-20","2020-04-26",19
山口県,"2020-04-20","2020-04-26",4
徳島県,"2020-04-20","2020-04-26",3
香川県,"2020-04-20","2020-04-26",7
愛媛県,"2020-04-20","2020-04-26",0
高知県,"2020-04-20","2020-04-26",6
福岡県,"2020-04-20","2020-04-26",29
佐賀県,"2020-04-20","2020-04-26",2
長崎県,"2020-04-20","2020-04-26",3
熊本県,"2020-04-20","2020-04-26",2
大分県,"2020-04-20","2020-04-26",6
宮崎県,"2020-04-20","2020-04-26",6
鹿児島県,"2020-04-20","2020-04-26",2
沖縄県,"2020-04-20","2020-04-26",0
北海道,"2020-04-27","2020-05-03",74
青森県,"2020-04-27","2020-05-03",0
岩手県,"2020-04-27","2020-05-03",1
宮城県,"2020-04-27","2020-05-03",27
秋田県,"2020-04-27","2020-05-03",0
山形県,"2020-04-27","2020-05-03",6
福島県,"2020-04-27","2020-05-03",5
茨城県,"2020-04-27","2020-05-03",7
栃木県,"2020-04-27","2020-05-03",3
群馬県,"2020-04-27","2020-05-03",1
埼玉県,"2020-04-27","2020-05-03",80
千葉県,"2020-04-27","2020-05-03",68
東京都,"2020-04-27","2020-05-03",750
神奈川県,"2020-04-27","2020-05-03",151
新潟県,"2020-04-27","2020-05-03",27
富山県,"2020-04-27","2020-05-03",3
石川県,"2020-04-27","2020-05-03",3
福井県,"2020-04-27","2020-05-03",0
山梨県,"2020-04-27","2020-05-03",3
長野県,"2020-04-27","2020-05-03",0
岐阜県,"2020-04-27","2020-05-03",1
静岡県,"2020-04-27","2020-05-03",3
愛知県,"2020-04-27","2020-05-03",22
三重県,"2020-04-27","2020-05-03",0
滋賀県,"2020-04-27","2020-05-03",1
京都府,"2020-04-27","2020-05-03",36
大阪府,"2020-04-27","2020-05-03",270
兵庫県,"2020-04-27","2020-05-03",29
奈良県,"2020-04-27","2020-05-03",2
和歌山県,"2020-04-27","2020-05-03",2
鳥取県,"2020-04-27","2020-05-03",0
島根県,"2020-04-27","2020-05-03",0
岡山県,"2020-04-27","2020-05-03",5
広島県,"2020-04-27","2020-05-03",18
山口県,"2020-04-27","2020-05-03",1
徳島県,"2020-04-27","2020-05-03",1
香川県,"2020-04-27","2020-05-03",6
愛媛県,"2020-04-27","2020-05-03",2
高知県,"2020-04-27","2020-05-03",0
福岡県,"2020-04-27","2020-05-03",23
佐賀県,"2020-04-27","2020-05-03",3
長崎県,"2020-04-27","2020-05-03",6
熊本県,"2020-04-27","2020-05-03",3
大分県,"2020-04-27","2020-05-03",5
宮崎県,"2020-04-27","2020-05-03",5
鹿児島県,"2020-04-27","2020-05-03",0
沖縄県,"2020-04-27","2020-05-03",0
北海道,"2020-05-04","2020-05-10",83
青森県,"2020-05-04","2020-05-10",0
岩手県,"2020-05-04","2020-05-10",3
宮城県,"2020-05-04","2020-05-10",34
秋田県,"2020-05-04","2020-05-10",0
山形県,"2020-05-04","2020-05-10",2
福島県,"2020-05-04","2020-05-10",1
茨城県,"2020-05-04","2020-05-10",12
栃木県,"2020-05-04","2020-05-10",0
群馬県,"2020-05-04","2020-05-10",1
埼玉県,"2020-05-04","2020-05-10",85
千葉県,"2020-05-04","2020-05-10",82
東京都,"2020-05-04","2020-05-10",622
神奈川県,"2020-05-04","2020-05-10",176
新潟県,"2020-05-04","2020-05-10",22
富山県,"2020-05-04","2020-05-10",3
石川県,"2020-05-04","2020-05-10",7
福井県,"2020-05-04","2020-05-10",0
山梨県,"2020-05-04","2020-05-10",1
長野県,"2020-05-04","2020-05-10",0
岐阜県,"2020-05-04","2020-05-10",3
静岡県,"2020-05-04","2020-05-10",1
愛知県,"2020-05-04","2020-05-10",24
三重県,"2020-05-04","2020-05-10",0
滋賀県,"2020-05-04","2020-05-10",0
京都府,"2020-05-04","2020-05-10",18
大阪府,"2020-05-04","2020-05-10",290
兵庫県,"2020-05-04","2020-05-10",40
奈良県,"2020-05-04","2020-05-10",3
和歌山県,"2020-05-04","2020-05-10",0
鳥取県,"2020-05-04","2020-05-10",0
島根県,"2020-05-04","2020-05-10",0
岡山県,"2020-05-04","2020-05-10",4
広島県,"2020-05-04","2020-05-10",27
山口県,"2020-05-04","2020-05-10",1
徳島県,"2020-05-04","2020-05-10",4
香川県,"2020-05-04","2020-05-10",8
愛媛県,"2020-05-04","2020-05-10",1
高知県,"2020-05-04","2020-05-10",10
福岡県,"2020-05-04","2020-05-10",25
佐賀県,"2020-05-04","2020-05-10",4
長崎県,"2020-05-04","2020-05-10",2
熊本県,"2020-05-04","2020-05-10",8
大分県,"2020-05-04","2020-05-10",7
宮崎県,"2020-05-04","2020-05-10",6
鹿児島県,"2020-05-04","2020-05-10",1
沖縄県,"2020-05-04","2020-05-10",0
北海道,"2020-05-11","2020-05-17",32
青森県,"2020-05-11","2020-05-17",1
岩手県,"2020-05-11","2020-05-17",3
宮城県,"2020-05-11","2020-05-17",18
秋田県,"2020-05-11","2020-05-17",0
山形県,"2020-05-11","2020-05-17",5
福島県,"2020-05-11","2020-05-17",3
茨城県,"2020-05-11","2020-05-17",7
栃木県,"2020-05-11","2020-05-17",4
