都道府県,開始日,終了日,救急搬送困難事案数
長野県,"2020-06-29","2020-07-05",0
岐阜県,"2020-06-29","2020-07-05",1
静岡県,"2020-06-29","2020-07-05",2
愛知県,"2020-06-29","2020-07-05",3
三重県,"2020-06-29","2020-07-05",0
滋賀県,"2020-06-29","2020-07-05",0
京都府,"2020-06-29","2020-07-05",4
大阪府,"2020-06-29","2020-07-05",108
兵庫県,"2020-06-29","2020-07-05",6
奈良県,"2020-06-29","2020-07-05",3
和歌山県,"2020-06-29","2020-07-05",1
鳥取県,"2020-06-29","2020-07-05",0
島根県,"2020-06-29","2020-07-05",0
岡山県,"2020-06-29","2020-07-05",4
広島県,"2020-06-29","2020-07-05",18
山口県,"2020-06-29","2020-07-05",2
徳島県,"2020-06-29","2020-07-05",1
香川県,"2020-06-29","2020-07-05",3
愛媛県,"2020-06-29","2020-07-05",0
高知県,"2020-06-29","2020-07-05",1
福岡県,"2020-06-29","2020-07-05",10
佐賀県,"2020-06-29","2020-07-05",3
長崎県,"2020-06-29","2020-07-05",1
熊本県,"2020-06-29","2020-07-05",3
大分県,"2020-06-29","2020-07-05",2
宮崎県,"2020-06-29","2020-07-05",9
鹿児島県,"2020-06-29","2020-07-05",1
沖縄県,"2020-06-29","2020-07-05",0
北海道,"2020-07-06","2020-07-12",53
青森県,"2020-07-06","2020-07-12",2
岩手県,"2020-07-06","2020-07-12",3
宮城県,"2020-07-06","2020-07-12",21
秋田県,"2020-07-06","2020-07-12",0
山形県,"2020-07-06","2020-07-12",1
福島県,"2020-07-06","2020-07-12",1
茨城県,"2020-07-06","2020-07-12",12
栃木県,"2020-07-06","2020-07-12",3
群馬県,"2020-07-06","2020-07-12",1
埼玉県,"2020-07-06","2020-07-12",29
千葉県,"2020-07-06","2020-07-12",42
東京都,"2020-07-06","2020-07-12",435
神奈川県,"2020-07-06","2020-07-12",70
新潟県,"2020-07-06","2020-07-12",8
富山県,"2020-07-06","2020-07-12",0
石川県,"2020-07-06","2020-07-12",1
福井県,"2020-07-06","2020-07-12",2
山梨県,"2020-07-06","2020-07-12",8
長野県,"2020-07-06","2020-07-12",0
岐阜県,"2020-07-06","2020-07-12",1
静岡県,"2020-07-06","2020-07-12",3
愛知県,"2020-07-06","2020-07-12",4
三重県,"2020-07-06","2020-07-12",0
滋賀県,"2020-07-06","2020-07-12",0
京都府,"2020-07-06","2020-07-12",12
大阪府,"2020-07-06","2020-07-12",119
兵庫県,"2020-07-06","2020-07-12",10
奈良県,"2020-07-06","2020-07-12",4
和歌山県,"2020-07-06","2020-07-12",2
鳥取県,"2020-07-06","2020-07-12",0
島根県,"2020-07-06","2020-07-12",0
岡山県,"2020-07-06","2020-07-12",4
広島県,"2020-07-06","2020-07-12",36
山口県,"2020-07-06","2020-07-12",1
徳島県,"2020-07-06","2020-07-12",2
香川県,"2020-07-06","2020-07-12",3
愛媛県,"2020-07-06","2020-07-12",1
高知県,"2020-07-06","2020-07-12",2
福岡県,"2020-07-06","2020-07-12",6
佐賀県,"2020-07-06","2020-07-12",4
長崎県,"2020-07-06","2020-07-12",4
熊本県,"2020-07-06","2020-07-12",1
大分県,"2020-07-06","2020-07-12",3
宮崎県,"2020-07-06","2020-07-12",5
鹿児島県,"2020-07-06","2020-07-12",6
沖縄県,"2020-07-06","2020-07-12",0
北海道,"2020-07-13","2020-07-19",33
青森県,"2020-07-13","2020-07-19",0
岩手県,"2020-07-13","2020-07-19",1
宮城県,"2020-07-13","2020-07-19",21
秋田県,"2020-07-13","2020-07-19",0
山形県,"2020-07-13","2020-07-19",1
福島県,"2020-07-13","2020-07-19",1
茨城県,"2020-07-13","2020-07-19",13
栃木県,"2020-07-13","2020-07-19",3
群馬県,"2020-07-13","2020-07-19",0
埼玉県,"2020-07-13","2020-07-19",19
千葉県,"2020-07-13","2020-07-19",58
東京都,"2020-07-13","2020-07-19",441
神奈川県,"2020-07-13","2020-07-19",63
新潟県,"2020-07-13","2020-07-19",14
富山県,"2020-07-13","2020-07-19",0
石川県,"2020-07-13","2020-07-19",2
福井県,"2020-07-13","2020-07-19",0
山梨県,"2020-07-13","2020-07-19",0
長野県,"2020-07-13","2020-07-19",0
岐阜県,"2020-07-13","2020-07-19",0
静岡県,"2020-07-13","2020-07-19",5
愛知県,"2020-07-13","2020-07-19",11
三重県,"2020-07-13","2020-07-19",0
滋賀県,"2020-07-13","2020-07-19",0
京都府,"2020-07-13","2020-07-19",10
大阪府,"2020-07-13","2020-07-19",122
兵庫県,"2020-07-13","2020-07-19",16
奈良県,"2020-07-13","2020-07-19",1
和歌山県,"2020-07-13","2020-07-19",2
鳥取県,"2020-07-13","2020-07-19",0
島根県,"2020-07-13","2020-07-19",0
岡山県,"2020-07-13","2020-07-19",2
広島県,"2020-07-13","2020-07-19",18
山口県,"2020-07-13","2020-07-19",4
徳島県,"2020-07-13","2020-07-19",0
香川県,"2020-07-13","2020-07-19",2
愛媛県,"2020-07-13","2020-07-19",0
高知県,"2020-07-13","2020-07-19",4
福岡県,"2020-07-13","2020-07-19",11
佐賀県,"2020-07-13","2020-07-19",1
長崎県,"2020-07-13","2020-07-19",3
熊本県,"2020-07-13","2020-07-19",4
大分県,"2020-07-13","2020-07-19",2
宮崎県,"2020-07-13","2020-07-19",5
鹿児島県,"2020-07-13","2020-07-19",2
沖縄県,"2020-07-13","2020-07-19",1
北海道,"2020-07-20","2020-07-26",39
青森県,"2020-07-20","2020-07-26",1
岩手県,"2020-07-20","2020-07-26",1
宮城県,"2020-07-20","2020-07-26",37
秋田県,"2020-07-20","2020-07-26",0
山形県,"2020-07-20","2020-07-26",6
福島県,"2020-07-20","2020-07-26",1
茨城県,"2020-07-20","2020-07-26",22
栃木県,"2020-07-20","2020-07-26",4
群馬県,"2020-07-20","2020-07-26",0
埼玉県,"2020-07-20","2020-07-26",43
千葉県,"2020-07-20","2020-07-26",69
東京都,"2020-07-20","2020-07-26",644
神奈川県,"2020-07-20","2020-07-26",109
新潟県,"2020-07-20","2020-07-26",15
富山県,"2020-07-20","2020-07-26",0
石川県,"2020-07-20","2020-07-26",4
福井県,"2020-07-20","2020-07-26",0
山梨県,"2020-07-20","2020-07-26",6
長野県,"2020-07-20","2020-07-26",0
岐阜県,"2020-07-20","2020-07-26",0
静岡県,"2020-07-20","2020-07-26",2
愛知県,"2020-07-20","2020-07-26",10
三重県,"2020-07-20","2020-07-26",0
滋賀県,"2020-07-20","2020-07-26",0
京都府,"2020-07-20","2020-07-26",16
大阪府,"2020-07-20","2020-07-26",186
兵庫県,"2020-07-20","2020-07-26",17
奈良県,"2020-07-20","2020-07-26",5
和歌山県,"2020-07-20","2020-07-26",1
鳥取県,"2020-07-20","2020-07-26",0
島根県,"2020-07-20","2020-07-26",0
岡山県,"2020-07-20","2020-07-26",2
広島県,"2020-07-20","2020-07-26",23
山口県,"2020-07-20","2020-07-26",1
徳島県,"2020-07-20","2020-07-26",1
香川県,"2020-07-20","2020-07-26",6
愛媛県,"2020-07-20","2020-07-26",0
高知県,"2020-07-20","2020-07-26",3
福岡県,"2020-07-20","2020-07-26",15
佐賀県,"2020-07-20","2020-07-26",0
長崎県,"2020-07-20","2020-07-26",4
熊本県,"2020-07-20","2020-07-26",6
大分県,"2020-07-20","2020-07-26",5
宮崎県,"2020-07-20","2020-07-26",13
鹿児島県,"2020-07-20","2020-07-26",2
沖縄県,"2020-07-20","2020-07-26",0
北海道,"2020-07-27","2020-08-02",44
青森県,"2020-07-27","2020-08-02",0
岩手県,"2020-07-27","2020-08-02",5
宮城県,"2020-07-27","2020-08-02",25
秋田県,"2020-07-27","2020-08-02",0
山形県,"2020-07-27","2020-08-02",2
福島県,"2020-07-27","2020-08-02",1
茨城県,"2020-07-27","2020-08-02",12
栃木県,"2020-07-27","2020-08-02",3
群馬県,"2020-07-27","2020-08-02",0
埼玉県,"2020-07-27","2020-08-02",35
千葉県,"2020-07-27","2020-08-02",69
東京都,"2020-07-27","2020-08-02",497
神奈川県,"2020-07-27","2020-08-02",70
新潟県,"2020-07-27","2020-08-02",9
富山県,"2020-07-27","2020-08-02",0
石川県,"2020-07-27","2020-08-02",3
福井県,"2020-07-27","2020-08-02",0
山梨県,"2020-07-27","2020-08-02",3
長野県,"2020-07-27","2020-08-02",1
岐阜県,"2020-07-27","2020-08-02",0
静岡県,"2020-07-27","2020-08-02",7
愛知県,"2020-07-27","2020-08-02",14
三重県,"2020-07-27","2020-08-02",1
滋賀県,"2020-07-27","2020-08-02",0
京都府,"2020-07-27","2020-08-02",11
大阪府,"2020-07-27","2020-08-02",199
兵庫県,"2020-07-27","2020-08-02",7
奈良県,"2020-07-27","2020-08-02",5
和歌山県,"2020-07-27","2020-08-02",3
鳥取県,"2020-07-27","2020-08-02",0
島根県,"2020-07-27","2020-08-02",0
岡山県,"2020-07-27","2020-08-02",2
広島県,"2020-07-27","2020-08-02",33
山口県,"2020-07-27","2020-08-02",5
徳島県,"2020-07-27","2020-08-02",3
香川県,"2020-07-27","2020-08-02",1
愛媛県,"2020-07-27","2020-08-02",0
高知県,"2020-07-27","2020-08-02",7
福岡県,"2020-07-27","2020-08-02",13
佐賀県,"2020-07-27","2020-08-02",2
長崎県,"2020-07-27","2020-08-02",6
熊本県,"2020-07-27","2020-08-02",8
大分県,"2020-07-27","2020-08-02",5
宮崎県,"2020-07-27","2020-08-02",7
鹿児島県,"2020-07-27","2020-08-02",2
沖縄県,"2020-07-27","2020-08-02",0
北海道,"2020-08-03","2020-08-09",52
青森県,"2020-08-03","2020-08-09",4
岩手県,"2020-08-03","2020-08-09",2
宮城県,"2020-08-03","2020-08-09",33
秋田県,"2020-08-03","2020-08-09",0
山形県,"2020-08-03","2020-08-09",1
福島県,"2020-08-03","2020-08-09",4
茨城県,"2020-08-03","2020-08-09",14
栃木県,"2020-08-03","2020-08-09",5
群馬県,"2020-08-03","2020-08-09",1
埼玉県,"2020-08-03","2020-08-09",37
千葉県,"2020-08-03","2020-08-09",74
東京都,"2020-08-03","2020-08-09",691
神奈川県,"2020-08-03","2020-08-09",111
新潟県,"2020-08-03","2020-08-09",11
富山県,"2020-08-03","2020-08-09",0
石川県,"2020-08-03","2020-08-09",4
福井県,"2020-08-03","2020-08-09",0
山梨県,"2020-08-03","2020-08-09",6
長野県,"2020-08-03","2020-08-09",0
岐阜県,"2020-08-03","2020-08-09",1
静岡県,"2020-08-03","2020-08-09",8
愛知県,"2020-08-03","2020-08-09",53
三重県,"2020-08-03","2020-08-09",4
滋賀県,"2020-08-03","2020-08-09",0
京都府,"2020-08-03","2020-08-09",18
大阪府,"2020-08-03","2020-08-09",227
兵庫県,"2020-08-03","2020-08-09",24
奈良県,"2020-08-03","2020-08-09",5
和歌山県,"2020-08-03","2020-08-09",5
鳥取県,"2020-08-03","2020-08-09",0
島根県,"2020-08-03","2020-08-09",0
岡山県,"2020-08-03","2020-08-09",1
広島県,"2020-08-03","2020-08-09",32
山口県,"2020-08-03","2020-08-09",0
徳島県,"2020-08-03","2020-08-09",1
香川県,"2020-08-03","2020-08-09",3
愛媛県,"2020-08-03","2020-08-09",1
高知県,"2020-08-03","2020-08-09",1
福岡県,"2020-08-03","2020-08-09",28
佐賀県,"2020-08-03","2020-08-09",4
長崎県,"2020-08-03","2020-08-09",7
熊本県,"2020-08-03","2020-08-09",9
大分県,"2020-08-03","2020-08-09",3
宮崎県,"2020-08-03","2020-08-09",11
鹿児島県,"2020-08-03","2020-08-09",1
沖縄県,"2020-08-03","2020-08-09",0
北海道,"2020-08-10","2020-08-16",58
青森県,"2020-08-10","2020-08-16",1
岩手県,"2020-08-10","2020-08-16",4
宮城県,"2020-08-10","2020-08-16",24
秋田県,"2020-08-10","2020-08-16",0
山形県,"2020-08-10","2020-08-16",2
福島県,"2020-08-10","2020-08-16",3
茨城県,"2020-08-10","2020-08-16",28
栃木県,"2020-08-10","2020-08-16",1
群馬県,"2020-08-10","2020-08-16",2
埼玉県,"2020-08-10","2020-08-16",47
千葉県,"2020-08-10","2020-08-16",95
東京都,"2020-08-10","2020-08-16",1012
神奈川県,"2020-08-10","2020-08-16",192
新潟県,"2020-08-10","2020-08-16",21
富山県,"2020-08-10","2020-08-16",0
石川県,"2020-08-10","2020-08-16",2
福井県,"2020-08-10","2020-08-16",0
山梨県,"2020-08-10","2020-08-16",12
長野県,"2020-08-10","2020-08-16",0
岐阜県,"2020-08-10","2020-08-16",0
静岡県,"2020-08-10","2020-08-16",5
愛知県,"2020-08-10","2020-08-16",35
三重県,"2020-08-10","2020-08-16",2
滋賀県,"2020-08-10","2020-08-16",0
京都府,"2020-08-10","2020-08-16",28
大阪府,"2020-08-10","2020-08-16",330
兵庫県,"2020-08-10","2020-08-16",31
奈良県,"2020-08-10","2020-08-16",6
和歌山県,"2020-08-10","2020-08-16",5
鳥取県,"2020-08-10","2020-08-16",0
島根県,"2020-08-10","2020-08-16",1
岡山県,"2020-08-10","2020-08-16",2
広島県,"2020-08-10","2020-08-16",34
山口県,"2020-08-10","2020-08-16",1
徳島県,"2020-08-10","2020-08-16",6
香川県,"2020-08-10","2020-08-16",9
愛媛県,"2020-08-10","2020-08-16",1
高知県,"2020-08-10","2020-08-16",5
福岡県,"2020-08-10","2020-08-16",25
佐賀県,"2020-08-10","2020-08-16",5
長崎県,"2020-08-10","2020-08-16",6
熊本県,"2020-08-10","2020-08-16",5
大分県,"2020-08-10","2020-08-16",5
宮崎県,"2020-08-10","2020-08-16",16
鹿児島県,"2020-08-10","2020-08-16",7
沖縄県,"2020-08-10","2020-08-16",1
北海道,"2020-08-17","2020-08-23",48
青森県,"2020-08-17","2020-08-23",2
岩手県,"2020-08-17","2020-08-23",2
宮城県,"2020-08-17","2020-08-23",26
秋田県,"2020-08-17","2020-08-23",0
山形県,"2020-08-17","2020-08-23",2
福島県,"2020-08-17","2020-08-23",1
茨城県,"2020-08-17","2020-08-23",24
栃木県,"2020-08-17","2020-08-23",2
群馬県,"2020-08-17","2020-08-23",0
埼玉県,"2020-08-17","2020-08-23",48
千葉県,"2020-08-17","2020-08-23",87
東京都,"2020-08-17","2020-08-23",824
神奈川県,"2020-08-17","2020-08-23",173
新潟県,"2020-08-17","2020-08-23",7
富山県,"2020-08-17","2020-08-23",1
石川県,"2020-08-17","2020-08-23",9
福井県,"2020-08-17","2020-08-23",0
山梨県,"2020-08-17","2020-08-23",13
長野県,"2020-08-17","2020-08-23",0
岐阜県,"2020-08-17","2020-08-23",0
静岡県,"2020-08-17","2020-08-23",7
愛知県,"2020-08-17","2020-08-23",65
三重県,"2020-08-17","2020-08-23",0
滋賀県,"2020-08-17","2020-08-23",0
京都府,"2020-08-17","2020-08-23",25
大阪府,"2020-08-17","2020-08-23",258
兵庫県,"2020-08-17","2020-08-23",27
奈良県,"2020-08-17","2020-08-23",3
和歌山県,"2020-08-17","2020-08-23",2
鳥取県,"2020-08-17","2020-08-23",0
島根県,"2020-08-17","2020-08-23",0
岡山県,"2020-08-17","2020-08-23",3
広島県,"2020-08-17","2020-08-23",29
山口県,"2020-08-17","2020-08-23",4
徳島県,"2020-08-17","2020-08-23",2
香川県,"2020-08-17","2020-08-23",8
愛媛県,"2020-08-17","2020-08-23",0
高知県,"2020-08-17","2020-08-23",8
福岡県,"2020-08-17","2020-08-23",24
佐賀県,"2020-08-17","2020-08-23",1
長崎県,"2020-08-17","2020-08-23",3
熊本県,"2020-08-17","2020-08-23",9
大分県,"2020-08-17","2020-08-23",13
宮崎県,"2020-08-17","2020-08-23",15
鹿児島県,"2020-08-17","2020-08-23",4
沖縄県,"2020-08-17","2020-08-23",0
北海道,"2020-08-24","2020-08-30",59
青森県,"2020-08-24","2020-08-30",3
岩手県,"2020-08-24","2020-08-30",2
宮城県,"2020-08-24","2020-08-30",23
秋田県,"2020-08-24","2020-08-30",0
山形県,"2020-08-24","2020-08-30",6
福島県,"2020-08-24","2020-08-30",4
茨城県,"2020-08-24","2020-08-30",25
栃木県,"2020-08-24","2020-08-30",7
群馬県,"2020-08-24","2020-08-30",0
埼玉県,"2020-08-24","2020-08-30",27
千葉県,"2020-08-24","2020-08-30",80
東京都,"2020-08-24","2020-08-30",650
神奈川県,"2020-08-24","2020-08-30",105
新潟県,"2020-08-24","2020-08-30",26
富山県,"2020-08-24","2020-08-30",2
石川県,"2020-08-24","2020-08-30",3
福井県,"2020-08-24","2020-08-30",0
山梨県,"2020-08-24","2020-08-30",10
長野県,"2020-08-24","2020-08-30",0
岐阜県,"2020-08-24","2020-08-30",0
静岡県,"2020-08-24","2020-08-30",3
愛知県,"2020-08-24","2020-08-30",15
三重県,"2020-08-24","2020-08-30",0
滋賀県,"2020-08-24","2020-08-30",1
京都府,"2020-08-24","2020-08-30",15
大阪府,"2020-08-24","2020-08-30",190
兵庫県,"2020-08-24","2020-08-30",18
奈良県,"2020-08-24","2020-08-30",9
和歌山県,"2020-08-24","2020-08-30",3
鳥取県,"2020-08-24","2020-08-30",0
島根県,"2020-08-24","2020-08-30",0
岡山県,"2020-08-24","2020-08-30",3
広島県,"2020-08-24","2020-08-30",17
山口県,"2020-08-24","2020-08-30",3
徳島県,"2020-08-24","2020-08-30",6
香川県,"2020-08-24","2020-08-30",3
愛媛県,"2020-08-24","2020-08-30",2
高知県,"2020-08-24","2020-08-30",4
福岡県,"2020-08-24","2020-08-30",25
佐賀県,"2020-08-24","2020-08-30",4
長崎県,"2020-08-24","2020-08-30",3
熊本県,"2020-08-24","2020-08-30",10
大分県,"2020-08-24","2020-08-30",14
宮崎県,"2020-08-24","2020-08-30",5
鹿児島県,"2020-08-24","2020-08-30",4
沖縄県,"2020-08-24","2020-08-30",0
北海道,"2020-08-31","2020-09-06",41
青森県,"2020-08-31","2020-09-06",0
岩手県,"2020-08-31","2020-09-06",3
宮城県,"2020-08-31","2020-09-06",35
秋田県,"2020-08-31","2020-09-06",0
山形県,"2020-08-31","2020-09-06",2
福島県,"2020-08-31","2020-09-06",3
茨城県,"2020-08-31","2020-09-06",19
栃木県,"2020-08-31","2020-09-06",1
群馬県,"2020-08-31","2020-09-06",1
埼玉県,"2020-08-31","2020-09-06",29
千葉県,"2020-08-31","2020-09-06",72
東京都,"2020-08-31","2020-09-06",600
神奈川県,"2020-08-31","2020-09-06",96
新潟県,"2020-08-31","2020-09-06",11
富山県,"2020-08-31","2020-09-06",0
石川県,"2020-08-31","2020-09-06",6
福井県,"2020-08-31","2020-09-06",0
山梨県,"2020-08-31","2020-09-06",3
長野県,"2020-08-31","2020-09-06",0
岐阜県,"2020-08-31","2020-09-06",2
静岡県,"2020-08-31","2020-09-06",2
愛知県,"2020-08-31","2020-09-06",17
三重県,"2020-08-31","2020-09-06",1
滋賀県,"2020-08-31","2020-09-06",0
京都府,"2020-08-31","2020-09-06",15
大阪府,"2020-08-31","2020-09-06",201
兵庫県,"2020-08-31","2020-09-06",16
奈良県,"2020-08-31","2020-09-06",2
和歌山県,"2020-08-31","2020-09-06",5
鳥取県,"2020-08-31","2020-09-06",0
島根県,"2020-08-31","2020-09-06",0
岡山県,"2020-08-31","2020-09-06",4
広島県,"2020-08-31","2020-09-06",31
山口県,"2020-08-31","2020-09-06",3
徳島県,"2020-08-31","2020-09-06",8
香川県,"2020-08-31","2020-09-06",4
愛媛県,"2020-08-31","2020-09-06",1
高知県,"2020-08-31","2020-09-06",5
福岡県,"2020-08-31","2020-09-06",26
佐賀県,"2020-08-31","2020-09-06",1
長崎県,"2020-08-31","2020-09-06",4
熊本県,"2020-08-31","2020-09-06",12
大分県,"2020-08-31","2020-09-06",4
宮崎県,"2020-08-31","2020-09-06",3
鹿児島県,"2020-08-31","2020-09-06",0
沖縄県,"2020-08-31","2020-09-06",0
北海道,"2020-09-07","2020-09-13",53
青森県,"2020-09-07","2020-09-13",1
岩手県,"2020-09-07","2020-09-13",0
宮城県,"2020-09-07","2020-09-13",18
秋田県,"2020-09-07","2020-09-13",0
山形県,"2020-09-07","2020-09-13",1
福島県,"2020-09-07","2020-09-13",2
茨城県,"2020-09-07","2020-09-13",10
栃木県,"2020-09-07","2020-09-13",5
群馬県,"2020-09-07","2020-09-13",0
埼玉県,"2020-09-07","2020-09-13",57
千葉県,"2020-09-07","2020-09-13",66
東京都,"2020-09-07","2020-09-13",525
神奈川県,"2020-09-07","2020-09-13",94
新潟県,"2020-09-07","2020-09-13",12
富山県,"2020-09-07","2020-09-13",1
石川県,"2020-09-07","2020-09-13",6
福井県,"2020-09-07","2020-09-13",0
山梨県,"2020-09-07","2020-09-13",6
長野県,"2020-09-07","2020-09-13",0
岐阜県,"2020-09-07","2020-09-13",0
静岡県,"2020-09-07","2020-09-13",5
愛知県,"2020-09-07","2020-09-13",11
三重県,"2020-09-07","2020-09-13",0
滋賀県,"2020-09-07","2020-09-13",0
京都府,"2020-09-07","2020-09-13",13
大阪府,"2020-09-07","2020-09-13",195
兵庫県,"2020-09-07","2020-09-13",6
奈良県,"2020-09-07","2020-09-13",3
和歌山県,"2020-09-07","2020-09-13",3
鳥取県,"2020-09-07","2020-09-13",0
島根県,"2020-09-07","2020-09-13",0
岡山県,"2020-09-07","2020-09-13",2
広島県,"2020-09-07","2020-09-13",31
山口県,"2020-09-07","2020-09-13",2
徳島県,"2020-09-07","2020-09-13",3
香川県,"2020-09-07","2020-09-13",5
愛媛県,"2020-09-07","2020-09-13",1
高知県,"2020-09-07","2020-09-13",6
福岡県,"2020-09-07","2020-09-13",10
佐賀県,"2020-09-07","2020-09-13",1
長崎県,"2020-09-07","2020-09-13",2
熊本県,"2020-09-07","2020-09-13",6
大分県,"2020-09-07","2020-09-13",6
宮崎県,"2020-09-07","2020-09-13",8
鹿児島県,"2020-09-07","2020-09-13",1
沖縄県,"2020-09-07","2020-09-13",0
北海道,"2020-09-14","2020-09-20",47
青森県,"2020-09-14","2020-09-20",2
岩手県,"2020-09-14","2020-09-20",5
宮城県,"2020-09-14","2020-09-20",27
秋田県,"2020-09-14","2020-09-20",0
山形県,"2020-09-14","2020-09-20",0
福島県,"2020-09-14","2020-09-20",2
茨城県,"2020-09-14","2020-09-20",9
栃木県,"2020-09-14","2020-09-20",7
群馬県,"2020-09-14","2020-09-20",0
埼玉県,"2020-09-14","2020-09-20",29
千葉県,"2020-09-14","2020-09-20",66
東京都,"2020-09-14","2020-09-20",544
神奈川県,"2020-09-14","2020-09-20",100
新潟県,"2020-09-14","2020-09-20",9
富山県,"2020-09-14","2020-09-20",0
石川県,"2020-09-14","2020-09-20",3
福井県,"2020-09-14","2020-09-20",0
山梨県,"2020-09-14","2020-09-20",6
長野県,"2020-09-14","2020-09-20",0
岐阜県,"2020-09-14","2020-09-20",1
静岡県,"2020-09-14","2020-09-20",4
愛知県,"2020-09-14","2020-09-20",11
三重県,"2020-09-14","2020-09-20",1
滋賀県,"2020-09-14","2020-09-20",0
京都府,"2020-09-14","2020-09-20",8
大阪府,"2020-09-14","2020-09-20",184
兵庫県,"2020-09-14","2020-09-20",11
奈良県,"2020-09-14","2020-09-20",3
和歌山県,"2020-09-14","2020-09-20",2
鳥取県,"2020-09-14","2020-09-20",0
島根県,"2020-09-14","2020-09-20",0
岡山県,"2020-09-14","2020-09-20",1
広島県,"2020-09-14","2020-09-20",22
山口県,"2020-09-14","2020-09-20",2
徳島県,"2020-09-14","2020-09-20",1
香川県,"2020-09-14","2020-09-20",4
愛媛県,"2020-09-14","2020-09-20",1
高知県,"2020-09-14","2020-09-20",6
福岡県,"2020-09-14","2020-09-20",16
佐賀県,"2020-09-14","2020-09-20",0
長崎県,"2020-09-14","2020-09-20",7
熊本県,"2020-09-14","2020-09-20",8
大分県,"2020-09-14","2020-09-20",4
宮崎県,"2020-09-14","2020-09-20",9
鹿児島県,"2020-09-14","2020-09-20",3
沖縄県,"2020-09-14","2020-09-20",0
北海道,"2020-09-21","2020-09-27",50
青森県,"2020-09-21","2020-09-27",1
岩手県,"2020-09-21","2020-09-27",5
宮城県,"2020-09-21","2020-09-27",27
秋田県,"2020-09-21","2020-09-27",0
山形県,"2020-09-21","2020-09-27",5
福島県,"2020-09-21","2020-09-27",1
茨城県,"2020-09-21","2020-09-27",12
栃木県,"2020-09-21","2020-09-27",7
群馬県,"2020-09-21","2020-09-27",0
埼玉県,"2020-09-21","2020-09-27",50
千葉県,"2020-09-21","2020-09-27",70
東京都,"2020-09-21","2020-09-27",587
神奈川県,"2020-09-21","2020-09-27",114
新潟県,"2020-09-21","2020-09-27",8
富山県,"2020-09-21","2020-09-27",0
石川県,"2020-09-21","2020-09-27",2
福井県,"2020-09-21","2020-09-27",1
山梨県,"2020-09-21","2020-09-27",5
長野県,"2020-09-21","2020-09-27",0
岐阜県,"2020-09-21","2020-09-27",0
静岡県,"2020-09-21","2020-09-27",2
愛知県,"2020-09-21","2020-09-27",13
三重県,"2020-09-21","2020-09-27",0
滋賀県,"2020-09-21","2020-09-27",0
京都府,"2020-09-21","2020-09-27",26
大阪府,"2020-09-21","2020-09-27",162
兵庫県,"2020-09-21","2020-09-27",11
奈良県,"2020-09-21","2020-09-27",2
和歌山県,"2020-09-21","2020-09-27",0
鳥取県,"2020-09-21","2020-09-27",0
島根県,"2020-09-21","2020-09-27",0
岡山県,"2020-09-21","2020-09-27",2
広島県,"2020-09-21","2020-09-27",34
山口県,"2020-09-21","2020-09-27",0
徳島県,"2020-09-21","2020-09-27",3
香川県,"2020-09-21","2020-09-27",3
愛媛県,"2020-09-21","2020-09-27",0
高知県,"2020-09-21","2020-09-27",4
福岡県,"2020-09-21","2020-09-27",21
佐賀県,"2020-09-21","2020-09-27",3
長崎県,"2020-09-21","2020-09-27",2
熊本県,"2020-09-21","2020-09-27",4
大分県,"2020-09-21","2020-09-27",5
宮崎県,"2020-09-21","2020-09-27",5
鹿児島県,"2020-09-21","2020-09-27",2
沖縄県,"2020-09-21","2020-09-27",1
北海道,"2020-09-28","2020-10-04",49
青森県,"2020-09-28","2020-10-04",1
岩手県,"2020-09-28","2020-10-04",5
宮城県,"2020-09-28","2020-10-04",29
秋田県,"2020-09-28","2020-10-04",0
山形県,"2020-09-28","2020-10-04",1
福島県,"2020-09-28","2020-10-04",5
茨城県,"2020-09-28","2020-10-04",8
栃木県,"2020-09-28","2020-10-04",5
群馬県,"2020-09-28","2020-10-04",1
埼玉県,"2020-09-28","2020-10-04",22
千葉県,"2020-09-28","2020-10-04",63
東京都,"2020-09-28","2020-10-04",513
神奈川県,"2020-09-28","2020-10-04",92
新潟県,"2020-09-28","2020-10-04",15
富山県,"2020-09-28","2020-10-04",3
石川県,"2020-09-28","2020-10-04",1
福井県,"2020-09-28","2020-10-04",0
山梨県,"2020-09-28","2020-10-04",7
長野県,"2020-09-28","2020-10-04",1
岐阜県,"2020-09-28","2020-10-04",1
静岡県,"2020-09-28","2020-10-04",2
愛知県,"2020-09-28","2020-10-04",13
三重県,"2020-09-28","2020-10-04",2
滋賀県,"2020-09-28","2020-10-04",0
京都府,"2020-09-28","2020-10-04",12
大阪府,"2020-09-28","2020-10-04",151
兵庫県,"2020-09-28","2020-10-04",7
奈良県,"2020-09-28","2020-10-04",3
和歌山県,"2020-09-28","2020-10-04",1
鳥取県,"2020-09-28","2020-10-04",0
島根県,"2020-09-28","2020-10-04",0
岡山県,"2020-09-28","2020-10-04",2
広島県,"2020-09-28","2020-10-04",35
山口県,"2020-09-28","2020-10-04",2
徳島県,"2020-09-28","2020-10-04",2
香川県,"2020-09-28","2020-10-04",0
愛媛県,"2020-09-28","2020-10-04",1
高知県,"2020-09-28","2020-10-04",2
福岡県,"2020-09-28","2020-10-04",9
佐賀県,"2020-09-28","2020-10-04",4
長崎県,"2020-09-28","2020-10-04",0
熊本県,"2020-09-28","2020-10-04",9
大分県,"2020-09-28","2020-10-04",5
宮崎県,"2020-09-28","2020-10-04",6
